Freq.	V(vout)
1.14815362149688e+03	(7.73685196109551e-01dB,2.73183716514460e+01°)
1.17489755493952e+03	(7.43382430315869e-01dB,2.65455531258937e+01°)
1.20226443461741e+03	(7.13957347920910e-01dB,2.58007079410981e+01°)
1.23026877081237e+03	(6.85423397041793e-01dB,2.50824827197808e+01°)
1.25892541179416e+03	(6.57787441615193e-01dB,2.43896015871401e+01°)
1.28824955169313e+03	(6.31050749233190e-01dB,2.37208620171665e+01°)
1.31825673855640e+03	(6.05209854572859e-01dB,2.30751307463511e+01°)
1.34896288259165e+03	(5.80257312810454e-01dB,2.24513397941851e+01°)
1.38038426460288e+03	(5.56182355958122e-01dB,2.18484826187374e+01°)
1.41253754462275e+03	(5.32971463698554e-01dB,2.12656104267609e+01°)
1.44543977074592e+03	(5.10608859032726e-01dB,2.07018286508059e+01°)
1.47910838816820e+03	(4.89076937901937e-01dB,2.01562936003707e+01°)
1.51356124843620e+03	(4.68356640898618e-01dB,1.96282092899064e+01°)
1.54881661891247e+03	(4.48427774236972e-01dB,1.91168244432784e+01°)
1.58489319246110e+03	(4.29269286308501e-01dB,1.86214296718701e+01°)
1.62181009735892e+03	(4.10859505393219e-01dB,1.81413548217435e+01°)
1.65958690743755e+03	(3.93176343425907e-01dB,1.76759664840031e+01°)
1.69824365246173e+03	(3.76197470122514e-01dB,1.72246656616470e+01°)
1.73780082874936e+03	(3.59900461245549e-01dB,1.67868855856369e+01°)
1.77827941003891e+03	(3.44262924323513e-01dB,1.63620896726157e+01°)
1.81970085860997e+03	(3.29262604730505e-01dB,1.59497696165789e+01°)
1.86208713666286e+03	(3.14877474672388e-01dB,1.55494436068358e+01°)
1.90546071796323e+03	(3.01085807310048e-01dB,1.51606546647208e+01°)
1.94984459975803e+03	(2.87866237972415e-01dB,1.47829690917276e+01°)
1.99526231496887e+03	(2.75197814168659e-01dB,1.44159750220006e+01°)
2.04173794466952e+03	(2.63060035895291e-01dB,1.40592810724172e+01°)
2.08929613085403e+03	(2.51432887546478e-01dB,1.37125150838194e+01°)
2.13796208950222e+03	(2.40296862572207e-01dB,1.33753229472879e+01°)
2.18776162394954e+03	(2.29632981884763e-01dB,1.30473675096937e+01°)
2.23872113856832e+03	(2.19422806888199e-01dB,1.27283275530990e+01°)
2.29086765276776e+03	(2.09648447895137e-01dB,1.24178968429119e+01°)
