Freq.	V(vout)
2.69153480392691e+00	(9.54133492848832e+00dB,-5.94169576024697e-01°)
2.75422870333816e+00	(9.54131326079026e+00dB,-6.08008746504269e-01°)
2.81838293126445e+00	(9.54129057201244e+00dB,-6.22170214257834e-01°)
2.88403150312660e+00	(9.54126681404126e+00dB,-6.36661482375924e-01°)
2.95120922666638e+00	(9.54124193649646e+00dB,-6.51490228419809e-01°)
3.01995172040201e+00	(9.54121588662428e+00dB,-6.66664308464085e-01°)
3.09029543251359e+00	(9.54118860918574e+00dB,-6.82191761231905e-01°)
3.16227766016837e+00	(9.54116004633960e+00dB,-6.98080812324898e-01°)
3.23593656929628e+00	(9.54113013751985e+00dB,-7.14339878549854e-01°)
3.31131121482591e+00	(9.54109881930732e+00dB,-7.30977572344331e-01°)
3.38844156139202e+00	(9.54106602529546e+00dB,-7.48002706303311e-01°)
3.46736850452531e+00	(9.54103168594959e+00dB,-7.65424297809166e-01°)
3.54813389233575e+00	(9.54099572845969e+00dB,-7.83251573767147e-01°)
3.63078054770101e+00	(9.54095807658611e+00dB,-8.01493975448704e-01°)
3.71535229097172e+00	(9.54091865049824e+00dB,-8.20161163444974e-01°)
3.80189396320560e+00	(9.54087736660539e+00dB,-8.39263022732814e-01°)
3.89045144994280e+00	(9.54083413737982e+00dB,-8.58809667855782e-01°)
3.98107170553496e+00	(9.54078887117142e+00dB,-8.78811448222558e-01°)
4.07380277804112e+00	(9.54074147201368e+00dB,-8.99278953525275e-01°)
4.16869383470335e+00	(9.54069183942058e+00dB,-9.20223019280324e-01°)
4.26579518801592e+00	(9.54063986817390e+00dB,-9.41654732494205e-01°)
4.36515832240165e+00	(9.54058544810050e+00dB,-9.63585437457073e-01°)
4.46683592150962e+00	(9.54052846383922e+00dB,-9.86026741666618e-01°)
4.57088189614874e+00	(9.54046879459679e+00dB,-1.00899052188500e+00°)
4.67735141287197e+00	(9.54040631389220e+00dB,-1.03248893033163e+00°)
4.78630092322637e+00	(9.54034088928924e+00dB,-1.05653440101443e+00°)
4.89778819368445e+00	(9.54027238211635e+00dB,-1.08113965620267e+00°)
5.01187233627271e+00	(9.54020064717329e+00dB,-1.10631771304395e+00°)
5.12861383991364e+00	(9.54012553242419e+00dB,-1.13208189032839e+00°)
5.24807460249771e+00	(9.54004687867606e+00dB,-1.15844581540296e+00°)
5.37031796370252e+00	(9.53996451924228e+00dB,-1.18542343123889e+00°)
5.49540873857623e+00	(9.53987827959028e+00dB,-1.21302900365503e+00°)
5.62341325190348e+00	(9.53978797697278e+00dB,-1.24127712870050e+00°)
5.75439937337156e+00	(9.53969342004157e+00dB,-1.27018274019930e+00°)
5.88843655355588e+00	(9.53959440844339e+00dB,-1.29976111746028e+00°)
6.02559586074356e+00	(9.53949073239670e+00dB,-1.33002789315533e+00°)
6.16595001861481e+00	(9.53938217224873e+00dB,-1.36099906136913e+00°)
6.30957344480192e+00	(9.53926849801175e+00dB,-1.39269098582336e+00°)
6.45654229034654e+00	(9.53914946887770e+00dB,-1.42512040827872e+00°)
6.60693448007594e+00	(9.53902483270988e+00dB,-1.45830445711780e+00°)
6.76082975391980e+00	(9.53889432551115e+00dB,-1.49226065611197e+00°)
6.91830970918935e+00	(9.53875767086710e+00dB,-1.52700693337552e+00°)
7.07945784384136e+00	(9.53861457936314e+00dB,-1.56256163051008e+00°)
7.24435960074988e+00	(9.53846474797445e+00dB,-1.59894351194258e+00°)
7.41310241300916e+00	(9.53830785942736e+00dB,-1.63617177445981e+00°)
7.58577575029182e+00	(9.53814358153102e+00dB,-1.67426605694262e+00°)
7.76247116628690e+00	(9.53797156647763e+00dB,-1.71324645030297e+00°)
7.94328234724279e+00	(9.53779145011037e+00dB,-1.75313350762668e+00°)
8.12830516164097e+00	(9.53760285115678e+00dB,-1.79394825452505e+00°)
8.31763771102669e+00	(9.53740537042680e+00dB,-1.83571219969795e+00°)
8.51138038202374e+00	(9.53719858997315e+00dB,-1.87844734571165e+00°)
8.70963589956078e+00	(9.53698207221277e+00dB,-1.92217619999372e+00°)
8.91250938133743e+00	(9.53675535900733e+00dB,-1.96692178604799e+00°)
9.12010839355907e+00	(9.53651797070097e+00dB,-2.01270765489194e+00°)
9.33254300796988e+00	(9.53626940511330e+00dB,-2.05955789671905e+00°)
9.54992586021433e+00	(9.53600913648572e+00dB,-2.10749715278840e+00°)
9.77237220955808e+00	(9.53573661437863e+00dB,-2.15655062754360e+00°)
9.99999999999997e+00	(9.53545126251774e+00dB,-2.20674410096322e+00°)
1.02329299228075e+01	(9.53515247758668e+00dB,-2.25810394114422e+00°)
1.04712854805090e+01	(9.53483962796389e+00dB,-2.31065711712030e+00°)
1.07151930523760e+01	(9.53451205240089e+00dB,-2.36443121191619e+00°)
1.09647819614318e+01	(9.53416905863952e+00dB,-2.41945443583928e+00°)
